annotation_type annotation_level
AccessionNumber entity
ActivityAssayConditions sentence
Assay entity
Buffer entity
Characterization entity
Enzyme entity
Expression sentence
Family entity
Fungus entity
Gene entity
Glycoside_Hydrolase entity
Glycosylation sentence
Kinetics sentence
Laccase entity
Lipase entity
Peroxidase entity
pH sentence
ProductAnalysis sentence
Temperature sentence
SpecificActivity sentence
Substrate entity
SubstrateSpecificity sentence
